name,dist,alt,ful,time,lat,lon
AV210,22.224,0,74900,0,37.80083333333334,23.766666666666666
AV212,42.596,0,74200,0,37.668055555555554,23.585833333333333
AV216,77.784,0,73200,0,37.60166666666667,23.98472222222222
TOC,101.86,8839,72500,0,37.55166666666667,24.251666666666665
KEA,105.564,8839,72500,0,37.55111111111111,24.285833333333333
VARIX,174.088,8839,72000,0,37.352222222222224,25.03361111111111
RIPLI,205.572,8839,71700,0,37.26833333333333,25.352222222222224
PIDAX,220.388,8839,71600,0,37.21861111111111,25.501944444444444
AKINA,290.764,8839,71100,0,36.96888888888889,26.235833333333332
LURUS,316.692,8839,70900,0,36.88444444444445,26.516666666666666
KOPAR,333.36,8839,70700,0,36.818888888888885,26.684166666666666
USINI,375.956,8839,70400,0,36.66833333333334,27.11916666666667
CODIC,435.22,8839,69900,0,36.4525,27.719166666666666
RDS,470.408,8839,69700,0,36.33444444444444,28.069166666666668
SOTIV,513.004,8839,69100,0,36.55,28.483333333333334
DAL,544.488,11278,68700,0,36.684444444444445,28.769166666666667
OZYAK,601.9,11278,68400,0,37.11805555555556,29.135
SUNAT,618.568,11278,68300,0,37.250277777777775,29.25
RIVBU,627.828,11278,68200,0,37.318333333333335,29.302222222222223
BALSU,644.496,11278,68100,0,37.451388888888886,29.41777777777778
CRD,688.944,11278,67800,0,37.784444444444446,29.700555555555557
DESEM,737.096,11278,67500,0,38.15027777777778,30.00027777777778
TEKDO,761.172,11278,67400,0,38.33416666666667,30.15111111111111
UPKUL,787.1,11278,67200,0,38.51916666666666,30.316944444444445
KFK,824.14,11887,66900,0,38.800555555555555,30.535555555555554
ROLVI,942.668,11887,66100,0,39.216944444444444,31.801944444444445
HALIL,992.672,11887,65800,0,39.38444444444445,32.35138888888889
HAY,1007.488,11887,65700,0,39.43388888888889,32.501666666666665
OZCIM,1042.676,11887,65500,0,39.46861111111111,32.90083333333333
EPHIK,1074.16,11887,65300,0,39.516666666666666,33.25194444444445
AVCES,1105.644,11887,65099,0,39.550555555555555,33.61833333333333
JUPNE,1172.316,11887,64700,0,39.618611111111115,34.40111111111111
USFAF,1272.324,11887,64099,0,39.71888888888889,35.56777777777778
ZACUF,1329.736,11887,63800,0,39.78333333333333,36.235
SIV,1385.296,11887,63500,0,39.784444444444446,36.885
OTSOV,1431.596,11887,63200,0,39.833333333333336,37.41916666666667
UTURI,1477.896,11887,62900,0,39.867777777777775,37.96805555555556
EZN,1555.68,11887,62500,0,39.93388888888889,38.88388888888889
INTAB,1574.2,11887,62300,0,39.934444444444445,39.10027777777778
ORHAN,1614.944,11887,62100,0,39.935833333333335,39.56861111111111
ARKIN,1644.576,11887,61900,0,39.95027777777778,39.916666666666664
DAMAT,1709.396,11887,61500,0,39.95111111111111,40.6525
ERZ,1755.696,11887,61300,0,39.95111111111111,41.20111111111111
ALVAR,1801.996,11887,61000,0,39.98555555555556,41.735
YAVUZ,1861.26,11887,60600,0,40.03527777777778,42.43333333333333
BIRZU,1903.856,11887,60400,0,40.06805555555555,42.93388888888889
